# time(ms),voltage(mV),na_current(nA
8.397999999998772225e+00,-6.571458691380360051e+01,-9.447131029722175780e-04
8.398999999998773447e+00,-6.571464716405114359e+01,-9.446844528067986722e-04
8.399999999998774669e+00,-6.571470723846313433e+01,-9.446558684426597727e-04
8.400999999998775891e+00,-6.571476713712233675e+01,-9.446273498465332201e-04
8.401999999998777113e+00,-6.571482686011148644e+01,-9.445988969851656664e-04
8.402999999998778335e+00,-6.571488640751331900e+01,-9.445705098253179667e-04
8.403999999998779558e+00,-6.571494577941055582e+01,-9.445421883337634444e-04
8.404999999998780780e+00,-6.571500497588591827e+01,-9.445139324772919027e-04
8.405999999998782002e+00,-6.571506399702209933e+01,-9.444857422227049626e-04
8.406999999998783224e+00,-6.571512284290179196e+01,-9.444576175368194241e-04
8.407999999998784446e+00,-6.571518151360767490e+01,-9.444295583864655312e-04
8.408999999998785668e+00,-6.571524000922241271e+01,-9.444015647384879477e-04
8.409999999998786890e+00,-6.571529832982866992e+01,-9.443736365597449984e-04
8.410999999998788113e+00,-6.571535647550908266e+01,-9.443457738171094282e-04
8.411999999998789335e+00,-6.571541444634627283e+01,-9.443179764774674257e-04
8.412999999998790557e+00,-6.571547224242287655e+01,-9.442902445077197083e-04
8.413999999998791779e+00,-6.571552986382150152e+01,-9.442625778747803286e-04
8.414999999998793001e+00,-6.571558731062474124e+01,-9.442349765455774341e-04
8.415999999998794223e+00,-6.571564458291517496e+01,-9.442074404870535922e-04
8.416999999998795445e+00,-6.571570168077539620e+01,-9.441799696661648143e-04
8.417999999998796667e+00,-6.571575860428795579e+01,-9.441525640498812065e-04
8.418999999998797890e+00,-6.571581535353540460e+01,-9.441252236051868611e-04
8.419999999998799112e+00,-6.571587192860029347e+01,-9.440979482990798565e-04
8.420999999998800334e+00,-6.571592832956514485e+01,-9.440707380985724744e-04
8.421999999998801556e+00,-6.571598455651248116e+01,-9.440435929706901151e-04
8.422999999998802778e+00,-6.571604060952481063e+01,-9.440165128824720567e-04
8.423999999998804000e+00,-6.571609648868461306e+01,-9.439894978009727563e-04
8.424999999998805222e+00,-6.571615219407438246e+01,-9.439625476932593561e-04
8.425999999998806445e+00,-6.571620772577658443e+01,-9.439356625264134180e-04
8.426999999998807667e+00,-6.571626308387368454e+01,-9.439088422675299484e-04
8.427999999998808889e+00,-6.571631826844811997e+01,-9.438820868837181563e-04
8.428999999998810111e+00,-6.571637327958234209e+01,-9.438553963421012372e-04
8.429999999998811333e+00,-6.571642811735875966e+01,-9.438287706098160475e-04
8.430999999998812555e+00,-6.571648278185979564e+01,-9.438022096540136466e-04
8.431999999998813777e+00,-6.571653727316784455e+01,-9.437757134418578876e-04
8.432999999998814999e+00,-6.571659159136530093e+01,-9.437492819405276937e-04
8.433999999998816222e+00,-6.571664573653454511e+01,-9.437229151172149989e-04
8.434999999998817444e+00,-6.571669970875792899e+01,-9.436966129391264821e-04
8.435999999998818666e+00,-6.571675350811781868e+01,-9.436703753734817244e-04
8.436999999998819888e+00,-6.571680713469655188e+01,-9.436442023875146181e-04
8.437999999998821110e+00,-6.571686058857645207e+01,-9.436180939484726084e-04
8.438999999998822332e+00,-6.571691386983984273e+01,-9.435920500236168011e-04
8.439999999998823554e+00,-6.571696697856903313e+01,-9.435660705802229389e-04
8.440999999998824777e+00,-6.571701991484631833e+01,-9.435401555855799918e-04
8.441999999998825999e+00,-6.571707267875396496e+01,-9.435143050069901569e-04
8.442999999998827221e+00,-6.571712527037425389e+01,-9.434885188117704850e-04
8.443999999998828443e+00,-6.571717768978945173e+01,-9.434627969672506036e-04
